Index,Year,Mood.TS,SCLib.TS
1,1946,NA,53.19148936
2,1947,NA,64.18918919
3,1948,NA,58.70967742
4,1949,NA,40.31007752
5,1950,NA,44.8
6,1951,NA,41.66666667
7,1952,49.876,40.87591241
8,1953,54.93,44.06779661
9,1954,59.369,70.19230769
10,1955,62.87,67.4796748
11,1956,61.404,65.24822695
12,1957,57.819,58.5106383
13,1958,63.158,63.29113924
14,1959,65.067,62
15,1960,64.514,57.96178344
16,1961,68.917,74.10071942
17,1962,68.91,74.30167598
18,1963,65.274,80.09478673
19,1964,61.663,68.24324324
20,1965,57.963,66.86046512
21,1966,60.561,63.18681319
22,1967,60.286,71.9844358
23,1968,57.089,72.25433526
24,1969,53.333,57.40740741
25,1970,60.125,48.52071006
26,1971,64.024,54.92227979
27,1972,63.459,46.79802956
28,1973,58.216,43.52331606
29,1974,57.272,52.04678363
30,1975,57.02,38.34951456
31,1976,56.557,38.16425121
32,1977,54.614,52.17391304
33,1978,54.285,39.89361702
34,1979,54.287,47.36842105
35,1980,51.209,39.52095808
36,1981,53.187,46.79802956
37,1982,53.329,43.81443299
38,1983,58.195,38.86010363
39,1984,58.694,45.35519126
40,1985,58.544,40.11299435
41,1986,59.756,48.31460674
42,1987,62.371,48.48484848
43,1988,64.203,41.86046512
44,1989,65.821,45.39473684
45,1990,64.166,48.52941176
46,1991,65.157,40.93959732
47,1992,65.188,46.28099174
48,1993,61.864,37.39837398
49,1994,57.51,38.7755102
50,1995,55.432,42.85714286
51,1996,56.132,36.79245283
52,1997,58.595,37.86407767
53,1998,58.896,39.04761905
54,1999,60.374,46.73913043
55,2000,60.579,53.26086957
56,2001,59.381,41.05263158
57,2002,63.72,44.44444444
58,2003,66.22,50
59,2004,64.996,56.66666667
60,2005,66.8,41.41414141
61,2006,66.233,40.47619048
62,2007,66.022,50.63291139
63,2008,65.861,34.7826087
64,2009,64.924,49.47368421
65,2010,61.435,43.47826087
66,2011,61.841,45.97701149
67,2012,60.891,47.56097561
68,2013,60.434,59.52380952
69,2014,59.506,56.41025641
70,2015,60.155,52.68817204
71,2016,62.589,48.68421053
72,2017,67.169,45.83333333
73,2018,69.149,49.31506849